sni_index,code_index,sni,bleu,code
4.0,5152.0,"function MyToken(
        uint256 initialSupply,
        string tokenName,
        uint8 decimalUnits,
        string tokenSymbol
        ) {
        balanceOf[msg.sender] = initialSupply;              
        totalSupply = initialSupply;                        
        name = tokenName;                                   
        symbol = tokenSymbol;                               
        decimals = decimalUnits;                            
        owner = msg.sender;
    }",0.9308099457797124,"function MyAdvancedToken7(
        uint256 initialSupply,
        string tokenName,
        uint8 decimalUnits,
        string tokenSymbol
    ) 
    {
        owner = msg.sender;
        
        balanceOf[msg.sender] = initialSupply;              
        totalSupply = initialSupply;                        
        name = tokenName;                                   
        symbol = tokenSymbol;                               
        decimals = decimalUnits;                            
    }"
21.0,312.0,"function assert(bool assertion) internal {
            if (!assertion) {
                throw;
            }
           }",0.9321992460304712,"function assert(bool assertion) internal {
    if (!assertion) throw;
  }"
23.0,1498.0,function fallback() external payable{},0.9713970505891051,"function () payable external {

    _fallback();

  }"
44.0,25998.0,"function Crowdsale(
        address ifSuccessfulSendTo,
        uint fundingGoalInEthers,
        uint durationInMinutes,
        uint etherCostOfEachToken,
        token addressOfTokenUsedAsReward
    ) {
        beneficiary = ifSuccessfulSendTo;
        fundingGoal = fundingGoalInEthers * 1 ether;
        deadline = now + durationInMinutes * 1 minutes;
        price = etherCostOfEachToken * 1 ether;
        tokenReward = token(addressOfTokenUsedAsReward);
        creator = msg.sender;
    }",0.9391417992275246,"function Crowdsale(
        address ifSuccessfulSendTo,
        uint fundingGoalInEthers,
        uint durationInMinutes,
        uint etherCostOfEachToken,
        address addressOfTokenUsedAsReward
    ) public {
        beneficiary = ifSuccessfulSendTo;
        fundingGoal = fundingGoalInEthers * 1 ether;
        deadline = now + durationInMinutes * 1 minutes;
        price = etherCostOfEachToken * 1 ether;
        tokenReward = token(addressOfTokenUsedAsReward);
        decimals = 18;
    }"
46.0,5410.0,"function checkGoalReached() afterDeadline {
        if (amountRaised >= fundingGoal){
            fundingGoalReached = true;
            GoalReached(beneficiary, amountRaised);
        }
        crowdsaleClosed = true;
    }",0.938102611901955,"function checkGoalReached() afterDeadline onlyOwner {
        if (amountRaised >= fundingGoal){
            fundingGoalReached = true;
            GoalReached(beneficiary, amountRaised);
        }
        crowdsaleClosed = true;
    }"
59.0,5527.0,"function changeCrowdsaleRate(uint256 _value) onlyOwner {
        RATE = _value;
    }",0.9338314270813592,"function changeCrowdsaleRate(uint256 _value) onlyOwner {

            RATE = _value;

        }"
161.0,70443.0,"function FirstBloodToken(address founderInput, address signerInput, uint startBlockInput, uint endBlockInput) {

    founder = founderInput;
    signer = signerInput;
    startBlock = startBlockInput;
    endBlock = endBlockInput;
}",0.9778356974295788,"function FirstBloodToken(address founderInput, address signerInput, uint startBlockInput, uint endBlockInput) {

        founder = founderInput;

        signer = signerInput;

        startBlock = startBlockInput;

        endBlock = endBlockInput;

    }"
165.0,49.0,"function tokenFallback(address _from, uint _value, bytes _data) {
    (_from);
    (_value);
    (_data);
 }",0.9476834831213016,"function tokenFallback(address _from, uint _value, bytes _data) {

		(_from); (_value); (_data);

	}"
217.0,7456.0,"function Congress (
    uint minimumQuorumForProposals,
    uint minutesForDebate,
    int marginOfVotesForMajority
)  payable public {
    changeVotingRules(minimumQuorumForProposals, minutesForDebate, marginOfVotesForMajority);
    
    addMember(0, """");
    
    addMember(owner, 'founder');
}",0.9339406085616092,"function Congress (
        uint minimumQuorumForProposals,
        uint minutesForDebate,
        int marginOfVotesForMajority
    )  payable public {
        changeVotingRules(minimumQuorumForProposals, minutesForDebate, marginOfVotesForMajority);
        
        addMember(0, """");
        
        addMember(owner, &#39;founder&#39;);
    }"
465.0,6778.0,"function Token(address _crowdSaleAddress) public {

        locked = true;  
        totalSupply = 300000000e18; 
        name = ""TGAME""; 
        symbol = ""TGAME""; 
        decimals = 18; 
        crowdSaleAddress = _crowdSaleAddress;                             
        balances[crowdSaleAddress] = totalSupply;
    }",0.9041188645486412,"function Token(address _crowdSaleAddress) public {
        
        locked = true;  
        totalSupply = 21000000e18; 
        name = ""Lottery Token""; 
        symbol = ""ETHD""; 
        decimals = 18; 
        crowdSaleAddress = _crowdSaleAddress;                                  
        balances[crowdSaleAddress] = totalSupply;
    }"
