sni_index,code_index,sni,bleu,code
5.0,114766.0,"function transfer(address _to, uint256 _value) { 
        if (_to == 0x0) throw;                               
        if (balanceOf[owner] < _value) throw;                
        if (balanceOf[_to] + _value < balanceOf[_to]) throw; 
        balanceOf[owner] -= _value;                          
        balanceOf[_to] += _value;                            
        Transfer(owner, _to, _value);                        

        
        ShowLogstr(_value);
        ShowCurrentTokenOfOwner(owner,balanceOf[owner]);
        ShowCurrentTokenOfTransferAccount(_to,balanceOf[_to]);
    }",0.7138798614436659,"function transfer(address _to, uint256 _value, string _dataPutOnChain) {

        _onChainData = _dataPutOnChain;

        if (_to == 0x0) throw;                               

		if (_value <= 0) throw; 

        if (balanceOf[msg.sender] < _value) throw;           

        if (balanceOf[_to] + _value < balanceOf[_to]) throw; 

        balanceOf[msg.sender] = SafeMath.safeSub(balanceOf[msg.sender], _value);                     

        balanceOf[_to] = SafeMath.safeAdd(balanceOf[_to], _value);                            

        Transfer(msg.sender, _to, _value);                   

    }"
45.0,24205.0,"function () payable {
        if (crowdsaleClosed) throw;
        uint amount = msg.value;  
        balanceOf[msg.sender] = amount;
        amountRaised += amount;
        tokenReward.transfer(msg.sender, amount / price);
        FundTransfer(msg.sender, amount, true);
    }",0.7726417050657698,"function purchase() internal {
        uint amount = msg.value;
        balanceOf[msg.sender] += amount;
        amountRaised += amount;
        tokenReward.transferFrom(beneficiary, msg.sender, (amount * price) / 1 ether);
        checkGoalReached();
        FundTransfer(msg.sender, amount, true);
    }"
48.0,109946.0,"function beneficiarySafeWithdrawal() afterDeadline {
        if(creator!=msg.sender) throw;
        if (fundingGoalReached) {
            if (beneficiary.send(amountRaised)) {
                FundTransfer(beneficiary, amountRaised, false);
            } else {
                
                fundingGoalReached = false;
            }
        }
    }",0.7093062173116881,"function safeWithdrawalAll() {
        if ( beneficiary == msg.sender) {
            if (beneficiary.send(amountRaised)) {
                FundTransfer(beneficiary, amountRaised, false);
				remainAmount = remainAmount - amountRaised;
            } else {
				WithdrawFailed(beneficiary, amountRaised, false);
				
            }
        }
    }"
54.0,107926.0,"function assign(DataSet storage self) internal {
        self.a = 2;
    }",0.772845378473759,"function resetIndex (Data storage self) internal {

		self.len = 0;

	}"
56.0,114873.0,"function burnTokens(uint256 _value) onlyOwner {

         require(balances[msg.sender] >= _value && _value > 0 );
         _totalSupply = _totalSupply.sub(_value);
         balances[msg.sender] = balances[msg.sender].sub(_value);

    }",0.7622051170193743,"function burn(uint256 _value) onlyOwner public {

        require(_value <= balances[msg.sender]);





        address burner = msg.sender;

        balances[burner] = balances[burner] - _value;

        totalSupply = totalSupply - _value;

        emit Burn(burner, _value);

    }"
57.0,91599.0,"function createTokens() payable {
        if(isMinting == true){
            require(msg.value > 0);
            uint256  tokens = msg.value.div(100000000000000).mul(RATE);
            balances[msg.sender] = balances[msg.sender].add(tokens);
            _totalSupply = _totalSupply.add(tokens);
            owner.transfer(msg.value);
        }
        else{
            throw;
        }
    }",0.7607269303175765,"function createTokens() payable {
            if(isMinting == true){
                require(msg.value > 0);
                RATE = getETH2TokenRate();
                uint256 tokens = msg.value.div(1000000000000000).mul(RATE).div(100000);
                _totalSupply = _totalSupply.add(tokens);
                balances[msg.sender] = balances[msg.sender].add(tokens);
                Transfer(this, msg.sender, tokens);
                owner.transfer(msg.value);
            }
            else{
                throw;
            }
        }"
75.0,30290.0,"function Token(
        ) {
        balances[msg.sender] = 450;               
        totalSupply = 450;                        
        name = ""jkj"";                                   
        decimals = 1;                            
        symbol = ""jjj"";                               
    }",0.7627009798149559,"function ERC20Token(
        ) {
        balances[msg.sender] = 100;               
        totalSupply = 100;                        
        name = ""Joker"";                                   
        decimals = 0;                            
        symbol = ""JKR"";                               
    }"
101.0,122173.0,"function withdrawTokens(uint256 _amount) { if(msg.sender!=wallet) throw; tokenReward.transfer(wallet,_amount); }",0.7217472496073296,"function TransferTokens(address _to, uint _amount) {
        if (beneficiary != msg.sender) throw;
        tokenReward.transfer(_to, _amount);
    }"
112.0,42923.0,"function addUser(address pubkey) public {

  }",0.7056993689310586,function burnTokens(address _address) public{}
128.0,69836.0,"function modifyGlobalTokenURI(string _tokenURI) public onlyManager {
  _globalTokenURI = _tokenURI;
}",0.7792310910117356,"function setBaseTokenURI(string memory _newTokenURI) public onlyManager {

        _tokenURI = _newTokenURI;

    }"
