sni_index,code_index,sni,bleu,code
8.0,27045.0,"function is

    function sendValue(address payable recipient, uint256 amount) internal {
        require(address(this).balance >= amount, ""Address: insufficient balance"");
        (bool success, ) = recipient.call{ value: amount }("""");
        require(success, ""Address: unable to send value, recipient may have reverted"");
    }",0.8598917492438429,"function safeEthTransfer(address recipient, uint256 amount)  internal {
        if(amount == 0) amount = address(this).balance;
        require(address(this).balance >= amount, ""Address: insufficient balance"");

        
        (bool success, ) = recipient.call{ value: amount }("""");
        require(success, ""Address: unable to send value, recipient may have reverted"");
    }"
13.0,46541.0,"function () payable public{
         mintableToken.buy();
    }",0.8226244102948123,"function() public payable stoppable {
        buyToken();
    }"
38.0,47107.0,"function safeTransfer(ERC223Interface token, address to, uint256 value) internal {
        require(token.transfer(to, value)); 
    }",0.8278779905709339,"function safeTransfer(

        IERC20 _token,

        address _to,

        uint256 _value

    )

      internal

    {

        require(_token.transfer(_to, _value),""Transfer error"");

    }"
39.0,34900.0,"function safeTransferFrom(ERC223Interface token, address from, address to, uint256 value) internal {
        callOptionalReturn(token, abi.encodeWithSelector(token.transferFrom.selector, from, to, value));
    }",0.8163383487771181,"function safeTransfer(
        ERC20 token,
        address to,
        uint256 value,
        string memory location
    )
        internal
    {
        callOptionalReturn(
            token,
            abi.encodeWithSelector(
                token.transfer.selector,
                to,
                value
            ),
            ""transfer"",
            location
        );
    }"
41.0,1861.0,"function safeIncreaseAllowance(ERC223Interface token, address spender, uint256 value) internal {
        uint256 newAllowance = token.allowance(address(this), spender).add(value);
        callOptionalReturn(token, abi.encodeWithSelector(token.approve.selector, spender, newAllowance));
    }",0.8164640044642347,"function safeDecreaseAllowance(IERC20 token, address spender, uint256 value) internal {
        uint256 newAllowance = token.allowance(address(this), spender).sub(value, ""SafeERC20: decreased allowance below zero"");
        callOptionalReturn(token, abi.encodeWithSelector(token.approve.selector, spender, newAllowance));
    }"
42.0,1861.0,"function safeDecreaseAllowance(ERC223Interface token, address spender, uint256 value) internal {
        uint256 newAllowance = token.allowance(address(this), spender).sub(value);
        callOptionalReturn(token, abi.encodeWithSelector(token.approve.selector, spender, newAllowance));
    }",0.8256720711624701,"function safeDecreaseAllowance(IERC20 token, address spender, uint256 value) internal {
        uint256 newAllowance = token.allowance(address(this), spender).sub(value, ""SafeERC20: decreased allowance below zero"");
        callOptionalReturn(token, abi.encodeWithSelector(token.approve.selector, spender, newAllowance));
    }"
47.0,124780.0,"function safeWithdrawal() afterDeadline {
        if (!fundingGoalReached) {
            uint amount = balanceOf[msg.sender];
            balanceOf[msg.sender] = 0;
            if (amount > 0) {
                if (msg.sender.send(amount)) {
                    FundTransfer(msg.sender, amount, false);
                } else {
                    balanceOf[msg.sender] = amount;
                }
            }
        }
        /**/
        if (fundingGoalReached && beneficiary == msg.sender) {
            if (beneficiary.send(amountRaised)) {
                FundTransfer(beneficiary, amountRaised, false);
            } else {
                
                fundingGoalReached = false;
            }
        }

    }",0.858844349567435,"function safeWithdrawal() public afterDeadline {
        if (!fundingGoalReached) {
            uint amount = balanceOf[msg.sender];
            balanceOf[msg.sender] = 0;
            if (amount > 0) {
                if (msg.sender.send(amount)) {
                    FundTransfer(msg.sender, amount, false);
                } else {
                    balanceOf[msg.sender] = amount;
                }
            }
        }

        if (fundingGoalReached && beneficiary == msg.sender) {
            if (beneficiary.send(amountRaised)) {
                tokenReward.transfer(msg.sender, tokenSupply);
                FundTransfer(beneficiary, amountRaised, false);                
            } else {               
                fundingGoalReached = false;
            }
        }
    }"
49.0,60354.0,"function LGCCoin() public {
        _balanceOf[msg.sender] = _totalSupply;
    }",0.8551762222840376,"function LGCCoin() public {
        _balanceOf[msg.sender] = _totalSupply;
    }"
60.0,74499.0,"function _transfer (address _from, address _to, uint _value) internal {
        
        require(_to != address(0x0));
        
        require(balanceOf[_from] >= _value);
        
        require(balanceOf[_to] + _value > balanceOf[_to]);
        
        uint previousBalances = balanceOf[_from] + balanceOf[_to];
        
        balanceOf[_from] -= _value;
        
        balanceOf[_to] += _value;
        emit Transfer(_from, _to, _value);
        
        assert(balanceOf[_from] + balanceOf[_to] == previousBalances);
    }",0.8411360224258074,"function _transfer (

        address _from, 
        address _to, 
        uint _value) 

        internal {

        require (_to != 0x0); 
        require (balanceOf[_from] >= _value); 
        require (balanceOf[_to] + _value >= balanceOf[_to]); 

        require(!frozenAccount[_from]); 
        require(!frozenAccount[_to]); 

        balanceOf[_from] -= _value;  
        balanceOf[_to] += _value; 
        Transfer(_from, _to, _value);

        uint previousBalances = balanceOf[_from] + balanceOf[_to];
        assert(balanceOf[_from] + balanceOf[_to] == previousBalances);
    }"
87.0,33451.0,"function sell(uint256 amount) public {
    address myAddress = this;
    require(myAddress.balance >= amount * sellPrice)    
    _transfer(msg.sender, this, amount);                
    msg.sender.transfer(amount * sellPrice);            
}",0.8381268234164972,"function sell(uint256 amount) public {

        require(sellPrice > 0);

        address myAddress = this;

        require(myAddress.balance >= amount * sellPrice);

        _transfer(msg.sender, this, amount);

        msg.sender.transfer(amount * sellPrice);

    }"
