sni_index,code_index,sni,bleu,code,check
4,5152,"function MyToken(
        uint256 initialSupply,
        string tokenName,
        uint8 decimalUnits,
        string tokenSymbol
        ) {
        balanceOf[msg.sender] = initialSupply;              
        totalSupply = initialSupply;                        
        name = tokenName;                                   
        symbol = tokenSymbol;                               
        decimals = decimalUnits;                            
        owner = msg.sender;
    }",0.930809946,"function MyAdvancedToken7(
        uint256 initialSupply,
        string tokenName,
        uint8 decimalUnits,
        string tokenSymbol
    ) 
    {
        owner = msg.sender;
        
        balanceOf[msg.sender] = initialSupply;              
        totalSupply = initialSupply;                        
        name = tokenName;                                   
        symbol = tokenSymbol;                               
        decimals = decimalUnits;                            
    }",3
21,312,"function assert(bool assertion) internal {
            if (!assertion) {
                throw;
            }
           }",0.932199246,"function assert(bool assertion) internal {
    if (!assertion) throw;
  }",0
23,1498,function fallback() external payable{},0.971397051,"function () payable external {

    _fallback();

  }",3
44,25998,"function Crowdsale(
        address ifSuccessfulSendTo,
        uint fundingGoalInEthers,
        uint durationInMinutes,
        uint etherCostOfEachToken,
        token addressOfTokenUsedAsReward
    ) {
        beneficiary = ifSuccessfulSendTo;
        fundingGoal = fundingGoalInEthers * 1 ether;
        deadline = now + durationInMinutes * 1 minutes;
        price = etherCostOfEachToken * 1 ether;
        tokenReward = token(addressOfTokenUsedAsReward);
        creator = msg.sender;
    }",0.939141799,"function Crowdsale(
        address ifSuccessfulSendTo,
        uint fundingGoalInEthers,
        uint durationInMinutes,
        uint etherCostOfEachToken,
        address addressOfTokenUsedAsReward
    ) public {
        beneficiary = ifSuccessfulSendTo;
        fundingGoal = fundingGoalInEthers * 1 ether;
        deadline = now + durationInMinutes * 1 minutes;
        price = etherCostOfEachToken * 1 ether;
        tokenReward = token(addressOfTokenUsedAsReward);
        decimals = 18;
    }",3
46,5410,"function checkGoalReached() afterDeadline {
        if (amountRaised >= fundingGoal){
            fundingGoalReached = true;
            GoalReached(beneficiary, amountRaised);
        }
        crowdsaleClosed = true;
    }",0.938102612,"function checkGoalReached() afterDeadline onlyOwner {
        if (amountRaised >= fundingGoal){
            fundingGoalReached = true;
            GoalReached(beneficiary, amountRaised);
        }
        crowdsaleClosed = true;
    }",0
59,5527,"function changeCrowdsaleRate(uint256 _value) onlyOwner {
        RATE = _value;
    }",0.933831427,"function changeCrowdsaleRate(uint256 _value) onlyOwner {

            RATE = _value;

        }",0
161,70443,"function FirstBloodToken(address founderInput, address signerInput, uint startBlockInput, uint endBlockInput) {

    founder = founderInput;
    signer = signerInput;
    startBlock = startBlockInput;
    endBlock = endBlockInput;
}",0.977835697,"function FirstBloodToken(address founderInput, address signerInput, uint startBlockInput, uint endBlockInput) {

        founder = founderInput;

        signer = signerInput;

        startBlock = startBlockInput;

        endBlock = endBlockInput;

    }",0
165,49,"function tokenFallback(address _from, uint _value, bytes _data) {
    (_from);
    (_value);
    (_data);
 }",0.947683483,"function tokenFallback(address _from, uint _value, bytes _data) {

		(_from); (_value); (_data);

	}",0
217,7456,"function Congress (
    uint minimumQuorumForProposals,
    uint minutesForDebate,
    int marginOfVotesForMajority
)  payable public {
    changeVotingRules(minimumQuorumForProposals, minutesForDebate, marginOfVotesForMajority);
    
    addMember(0, """");
    
    addMember(owner, 'founder');
}",0.933940609,"function Congress (
        uint minimumQuorumForProposals,
        uint minutesForDebate,
        int marginOfVotesForMajority
    )  payable public {
        changeVotingRules(minimumQuorumForProposals, minutesForDebate, marginOfVotesForMajority);
        
        addMember(0, """");
        
        addMember(owner, &#39;founder&#39;);
    }",0
465,6778,"function Token(address _crowdSaleAddress) public {

        locked = true;  
        totalSupply = 300000000e18; 
        name = ""TGAME""; 
        symbol = ""TGAME""; 
        decimals = 18; 
        crowdSaleAddress = _crowdSaleAddress;                             
        balances[crowdSaleAddress] = totalSupply;
    }",0.904118865,"function Token(address _crowdSaleAddress) public {
        
        locked = true;  
        totalSupply = 21000000e18; 
        name = ""Lottery Token""; 
        symbol = ""ETHD""; 
        decimals = 18; 
        crowdSaleAddress = _crowdSaleAddress;                                  
        balances[crowdSaleAddress] = totalSupply;
    }",1
483,3133,"function _preValidatePurchase(address _beneficiary, uint256 _weiAmount) internal {
    require(_beneficiary != address(0));
    require(_weiAmount != 0);
  }",0.919204211,"function _preValidatePurchase( address _beneficiary, uint256 _weiAmount) internal
  {
    require(_beneficiary != address(0));
    require(_weiAmount >= 1 * (10 ** 15));
  }",3
496,3989,"function addBlackList (address _evilUser) public onlyOwner {
    isBlackListed[_evilUser] = true;
    emit AddedBlackList(_evilUser); 
}",0.92517083,"function addBlackList (address _evilUser) public onlyOwner {
        isBlackListed[_evilUser] = true;
        emit AddedBlackList(_evilUser);
    }",0
497,3990,"function removeBlackList (address _clearedUser) public onlyOwner {
    isBlackListed[_clearedUser] = false;
    emit RemovedBlackList(_clearedUser);
}",0.932101206,"function removeBlackList (address _clearedUser) public onlyOwner {
        isBlackListed[_clearedUser] = false;
        emit RemovedBlackList(_clearedUser);
    }",0
498,39255,"function destroyBlackFunds (address _blackListedUser) public onlyOwner {
    require(isBlackListed[_blackListedUser]);
    uint dirtyFunds = balanceOf(_blackListedUser);
    balances[_blackListedUser] = 0;
    _totalSupply -= dirtyFunds;
    emit DestroyedBlackFunds(_blackListedUser, dirtyFunds);
}",0.907454656,"function destroyBlackFunds (address _blackListedUser) public onlyOwner {

    require(isBlackListed[_blackListedUser]);

    uint dirtyFunds = balanceOf(_blackListedUser);

    balances[_blackListedUser] = 0;

    _totalSupply = _totalSupply.sub(dirtyFunds);

    emit DestroyedBlackFunds(_blackListedUser, dirtyFunds);

  }",3
656,39705,"function setPrices(uint256 newSellPrice) onlyOwner {
    sellPrice = newSellPrice;
}",0.907166034,"function setPrices(uint256 newSellPrice) onlyOwner public {
        sellPrice = newSellPrice;
    }",1
665,2671,"function mintToken(address target, uint256 mintedAmount) onlyOwner public {
    balanceOf[target] += mintedAmount;
    totalSupply += mintedAmount;
    Transfer(0, this, mintedAmount);
    Transfer(this, target, mintedAmount);
}",0.931895172,"function mintToken(address target, uint256 mintedAmount) onlyOwner public {

        balanceOf[target] += mintedAmount;

        totalSupply += mintedAmount;

        emit Transfer(0, this, mintedAmount);

        emit Transfer(this, target, mintedAmount);

    }",1
718,45,function () payable public { },0.957898964,"function () public payable {

    }",0
864,49533,"function transferOwnership(address _newOwner) public onlyOwner {
    _transferOwnership(_newOwner);
}",0.927885589,"function transferOwnership(address newOwner) onlyOwner public {

        _transferOwnership(owner, newOwner);

    }",3
973,14598,"function mintToken(address target, uint256 mintedAmount) onlyOwner {
    balanceOf[target] += mintedAmount;
    totalSupply += mintedAmount;
    Transfer(0, owner, mintedAmount);
    Transfer(owner, target, mintedAmount);
}",0.903888592,"function mintToken(address target, uint256 mintedAmount) onlyOwner {
        require(!disabled);
        balances[target] += mintedAmount;
        totalSupply += mintedAmount;
        Transfer(0, owner, mintedAmount);
        Transfer(owner, target, mintedAmount);
    }",3
